formula_norm,source,n,med,lo,hi,sd,range
Ba2Cu(PO4)2,AFLOW,1,1.4721,1.4721,1.4721,,0.0
Ba2Cu(PO4)2,JARVIS,1,0.344,0.344,0.344,,0.0
Ba2Cu(PO4)2,MP,1,0.258499999999999,0.258499999999999,0.258499999999999,,0.0
Ba2Cu7(AsO4)6,MP,1,0.2398,0.2398,0.2398,,0.0
Ba2CuBiO6,OQMD,1,0.73,0.73,0.73,,0.0
Ba2CuBrO6,OQMD,1,0.722,0.722,0.722,,0.0
Ba2CuGe2O7,AFLOW,2,1.5455999999999999,1.5346,1.5566,0.015556349186103982,0.02200000000000002
Ba2CuGe2O7,JARVIS,1,0.218,0.218,0.218,,0.0
Ba2CuGe2O7,MP,1,0.196299999999999,0.196299999999999,0.196299999999999,,0.0
Ba2CuIrO6,OQMD,1,0.247,0.247,0.247,,0.0
Ba2CuMoO6,OQMD,9,0.663,0.3320000000000003,1.273,0.26931208662070844,0.9409999999999996
Ba2CuReO6,OQMD,13,0.63,0.38,0.873,0.1586979068577328,0.493
Ba2CuSbO6,OQMD,1,0.603,0.603,0.603,,0.0
Ba2CuSi2O7,AFLOW,2,1.43005,1.4275,1.4326,0.0036062445840514662,0.0051000000000001044
Ba2CuSi2O7,JARVIS,2,0.1895,0.089,0.29,0.14212846301849602,0.20099999999999998
Ba2CuSi2O7,MP,2,0.13134999999999952,0.079599999999999,0.1831,0.0731855518528084,0.10350000000000101
Ba2CuTcO6,OQMD,2,0.448,0.362,0.534,0.1216223663640862,0.17200000000000004
Ba2CuTeO6,AFLOW,1,0.267,0.267,0.267,,0.0
Ba2CuWO6,AFLOW,3,0.9129,0.9062,0.9237,0.008829684781085501,0.01749999999999996
Ba2CuWO6,OQMD,10,0.7024999999999999,0.344,1.358,0.2669607545023135,1.0140000000000002
Ba2DyNbO6,AFLOW,1,3.0914,3.0914,3.0914,,0.0
Ba2DyNbO6,JARVIS,1,2.923,2.923,2.923,,0.0
Ba2DyNbO6,MP,2,2.86095,2.8514,2.8705,0.013505739520662982,0.019099999999999895
Ba2DyNbO6,OQMD,7,3.215,3.073,3.229,0.05531382329598135,0.15600000000000014
Ba2DyRuO6,OQMD,8,0.2570000000000001,0.2519999999999998,0.259,0.0020658792662828713,0.007000000000000228
Ba2DySbO6,AFLOW,2,3.46185,3.4589,3.4648,0.004171930009000485,0.005900000000000016
Ba2DySbO6,JARVIS,1,3.722,3.722,3.722,,0.0
Ba2DySbO6,MP,2,3.47165,3.4688,3.4745,0.004030508652763348,0.005700000000000038
Ba2DySbO6,OQMD,5,3.956,3.8300000000000005,4.016,0.08243664233822232,0.1859999999999995
Ba2DyTaO6,MP,1,3.3837,3.3837,3.3837,,0.0
Ba2DyTaO6,OQMD,6,3.7169999999999996,3.563,3.7910000000000004,0.09381400037663155,0.2280000000000002
Ba2DyVO6,OQMD,4,1.6710000000000003,1.6709999999999998,1.673,0.000999999999999933,0.002000000000000224
Ba2ErNbO6,AFLOW,2,3.09495,3.0934,3.0965,0.0021920310216782127,0.0030999999999998806
Ba2ErNbO6,JARVIS,1,2.919,2.919,2.919,,0.0
Ba2ErNbO6,MP,1,2.854199999999999,2.854199999999999,2.854199999999999,,0.0
Ba2ErNbO6,OQMD,9,3.082,3.025,3.315,0.10384122495425395,0.29000000000000004
Ba2ErRuO6,AFLOW,2,1.08955,1.0894,1.0897,0.00021213203435601938,0.00029999999999996696
Ba2ErRuO6,JARVIS,1,0.079,0.079,0.079,,0.0
Ba2ErRuO6,MP,1,0.07160000000000001,0.07160000000000001,0.07160000000000001,,0.0
Ba2ErRuO6,OQMD,3,0.27200000000000024,0.2689999999999997,0.27200000000000024,0.0017320508075691953,0.0030000000000005578
Ba2ErSbO6,AFLOW,2,3.3672,3.363,3.3714,0.0059396969619669735,0.008399999999999963
Ba2ErSbO6,JARVIS,1,3.625,3.625,3.625,,0.0
Ba2ErSbO6,MP,1,3.3776,3.3776,3.3776,,0.0
Ba2ErSbO6,OQMD,5,3.7849999999999997,3.711,3.8430000000000004,0.055742264037263685,0.13200000000000056
Ba2ErTaO6,MP,1,3.393399999999999,3.393399999999999,3.393399999999999,,0.0
Ba2ErTaO6,OQMD,7,3.682,3.57,3.796,0.09510595594989224,0.22599999999999998
Ba2ErVO6,OQMD,5,1.7679999999999998,1.6759999999999997,1.7990000000000004,0.058760530971052466,0.12300000000000066
Ba2EuMoO6,OQMD,7,2.1599999999999997,2.088,2.3340000000000005,0.095416131210808,0.24600000000000044
Ba2EuTeO6,OQMD,8,3.6595,3.635,3.698,0.022435622185648107,0.06300000000000017
Ba2EuV2O8,OQMD,1,3.956,3.956,3.956,,0.0
Ba2EuWO6,OQMD,8,2.9725,2.811,3.048,0.07195422652134993,0.2370000000000001
Ba2FeAsO6,OQMD,2,0.8255,0.764,0.887,0.08697413408594534,0.123
Ba2FeBiO6,OQMD,15,0.375,0.2490000000000001,1.113,0.26678800215758963,0.8639999999999999
Ba2FeBrO6,OQMD,10,0.4965,0.371,1.582,0.46212563226897513,1.211
Ba2FeGe2O7,AFLOW,1,1.2673,1.2673,1.2673,,0.0
Ba2FeMoO6,AFLOW,7,1.7801,0.4089,1.7844,0.6692753515485806,1.3755
Ba2FeMoO6,JARVIS,4,0.2855,0.274,0.307,0.014259499757471596,0.032999999999999974
Ba2FeMoO6,MP,3,0.8640999999999991,0.7715000000000001,0.9037000000000001,0.06784757426270532,0.13219999999999998
Ba2FeMoO6,OQMD,9,0.827,0.488,1.6209999999999996,0.44836576710439335,1.1329999999999996
Ba2FeRuO6,OQMD,1,0.626,0.626,0.626,,0.0
Ba2FeSO6,OQMD,1,1.1579999999999995,1.1579999999999995,1.1579999999999995,,0.0
Ba2FeSbO6,OQMD,12,1.375,1.247,2.1,0.2527271105842079,0.853
Ba2FeTeO6,OQMD,5,0.747000000000001,0.25,1.616,0.5576429861479476,1.366
Ba2FeWO6,AFLOW,2,2.0753000000000004,1.612,2.5386,0.6552051434474548,0.9266000000000001
Ba2FeWO6,MP,1,2.506199999999999,2.506199999999999,2.506199999999999,,0.0
Ba2FeWO6,OQMD,10,1.398,0.523000000000001,2.229,0.4535021866907955,1.705999999999999
Ba2Ga11BiO20,MP,1,2.986999999999999,2.986999999999999,2.986999999999999,,0.0
Ba2GaBiO6,OQMD,6,0.3105,0.248,1.467,0.4863055623782233,1.219
Ba2GaBrO6,OQMD,3,0.4979999999999998,0.373,0.6239999999999997,0.12550033200487276,0.25099999999999967
Ba2GaOsO6,OQMD,13,0.411,0.40999999999999925,0.605,0.07096405735227826,0.19500000000000073
Ba2GaReO6,OQMD,1,0.247,0.247,0.247,,0.0
Ba2GaRuO6,OQMD,10,0.255,0.255,0.622,0.11793543431329985,0.367
