formula,in_296,pred,abs_lo,abs_hi,cqr_lo,cqr_hi,contain_abs,contain_cqr
Sr2CoZnO6,False,1.2334523267709445,0.3510802781702249,2.1158243753716643,0.2827056764501755,2.0503771406749376,0.10996916752312436,0.0
Sr2CoZrO6,True,0.691620660316831,-0.1907513882838886,1.5739927089175505,0.5693099339520216,1.7886320278424024,0.0,0.0
Sr2CrCuO6,True,0.4975986847734608,-0.3847733638272588,1.3799707333741804,0.0764706556325464,1.4031137198539954,0.0,0.0
Sr2CrFeO6,True,0.8492903900717884,-0.03308165852893119,1.7316624386725081,0.29286785774497814,1.6374927260792154,0.0,0.0
Sr2CrGaO6,True,1.1152285397806296,0.23285649117991003,1.9976005883813492,0.5960901267092635,3.1012760089033136,0.0,0.0
Sr2CrGeO6,True,0.8792542765541761,-0.00311777204654351,1.7616263251548956,0.3011217883456906,2.7156155776777187,0.0,0.0
Sr2CrHfO6,True,1.0974674636749011,0.2150954150741815,1.9798395122756207,0.47314452120705186,2.3711723054431038,0.0,0.0
Sr2CrInO6,True,0.9074483656697354,0.025076317069015808,1.789820414270455,0.5659669029057867,2.8081788106574734,0.0,0.0
Sr2CrIrO6,True,0.4516310170978457,-0.4307410315028739,1.3340030656985653,0.14507331946779267,1.4156109899744274,0.0,0.0
Sr2CrMnO6,True,0.7942065274094793,-0.08816552119124033,1.6765785760101988,0.18785273179574985,1.4601869028033585,0.0,0.0
Sr2CrMoO6,True,0.3599377530960656,-0.5224342955046539,1.2423098016967853,0.09478098604388419,1.3005376437036258,0.0,0.0
Sr2CrNbO6,True,0.8298709011423038,-0.05250114745841583,1.7122429497430234,0.11224925867722729,1.5376951606746339,0.0,0.0
Sr2CrNiO6,True,0.7063994818037093,-0.17597256679701034,1.5887715304044288,0.052408815436733036,1.3427857368699239,0.0,0.0
Sr2CrPdO6,True,0.3955451052747706,-0.486826943325949,1.27791715387549,0.07981740147673488,1.1917057612218995,0.0,0.0
Sr2CrReO6,True,0.6754086566366089,-0.20696339196411073,1.5577807052373285,0.3872098953771739,2.0277855444113175,0.0,0.0
Sr2CrRhO6,True,0.17870247659012994,-0.7036695720105897,1.0610745251908495,0.08859605479746518,1.057127137625126,0.0,0.0
Sr2CrRuO6,True,0.7189346803125272,-0.16343736828819244,1.6013067289132468,0.22826482063162334,1.7325649315302445,0.0,0.0
Sr2CrSbO6,False,0.9536120948262331,0.0712400462255135,1.8359841434269528,0.23306575798697693,2.278843049319153,0.0,0.0
