formula,formula_norm,tier,bg_pred,bg_ci_lo,bg_ci_lo_clip,bg_ci_hi,ci_width,dist_to_pv_centre,metal_risk,bg_pred_zeros,bg_pred_MP,e_class,mondrian_lo,mondrian_hi,mondrian_tier,reclassified
Sr2WAlO6,Sr2AlWO6,A1,1.7598154972916256,0.9061430733438623,0.9061430733438623,2.600828730673228,1.6946856573293656,0.2598154972916255,False,1.8276503816220344,1.9947518340119093,open,1.0202055758028907,2.49942541878036,A1,False
Sr2BiTeO6,Sr2BiTeO6,A1,1.2219630055685282,0.3524652966381061,0.3524652966381061,2.091075599915992,1.738610303277886,0.2780369944314718,False,1.2561804212576737,1.338962088333309,open,0.4823530840797934,1.961572927057263,A1,True
Sr2GaTeO6,Sr2GaTeO6,A2,1.81586067617702,0.9387855205505372,0.9387855205505372,2.701569213720502,1.7627836931699647,0.3158606761770197,False,1.838648900729438,1.929676716605624,open,1.0762507546882851,2.555470597665755,A2,True
Sr2ZrIrO6,Sr2ZrIrO6,A2,1.1540412842842906,0.3130217109174937,0.3130217109174937,2.009985540053388,1.6969638291358944,0.3459587157157093,False,1.1726382667493438,1.397827706715634,open,0.4144313627955558,1.8936512057730253,A2,False
Sr2GeSbO6,Sr2GeSbO6,A2,1.8517941393213624,0.9868111367597144,0.9868111367597144,2.708695706920139,1.7218845701604244,0.3517941393213621,False,1.906056647585464,2.067266133241057,open,1.1121842178326276,2.591404060810097,A2,True
Sr2NbGeO6,Sr2NbGeO6,A2,1.8871806872071248,1.0436367823772428,1.0436367823772428,2.755183751353638,1.7115469689763954,0.3871806872071248,False,1.9357326316169217,2.03435057692089,open,1.14757076571839,2.62679060869586,A2,False
Sr2IrAlO6,Sr2AlIrO6,A2,1.1098793953589363,0.2389955236091966,0.2389955236091966,1.987918517398141,1.7489229937889443,0.3901206046410634,False,1.175639095424686,1.3591083551333805,open,0.3702694738702015,1.8494893168476711,A2,False
Sr2ReAlO6,Sr2AlReO6,A2,1.101965945859022,0.2259139799968144,0.2259139799968144,1.9535200539467483,1.727606073949934,0.3980340541409781,False,1.1802373900347838,1.3462287437109195,open,0.3623560243702872,1.841575867347757,A2,False
Sr2RhHfO6,Sr2HfRhO6,A2,1.0850806690805042,0.2422829783335982,0.2422829783335982,1.9329239835750345,1.690641005241436,0.4149193309194958,False,1.0994164972929406,1.2544358067490589,open,0.3454707475917693,1.824690590569239,A2,False
Sr2MnIrO6,Sr2MnIrO6,A2,1.0605724468048,0.2061268506662025,0.2061268506662025,1.9192984179002133,1.7131715672340109,0.4394275531952001,False,1.0831291025939624,1.2469705418520092,open,0.320962525316065,1.8001823682935347,A2,False
Sr2MoSbO6,Sr2SbMoO6,A2,1.0571932118974656,0.2052627223690282,0.2052627223690282,1.9015646822248704,1.6963019598558422,0.4428067881025344,False,1.0486999745468724,1.1252271245926002,open,0.3175832904087308,1.7968031333862005,A2,False
Sr2WBiO6,Sr2BiWO6,A2,1.9474702367053105,1.106799763302343,1.106799763302343,2.7959343023011805,1.6891345389988377,0.4474702367053105,False,1.9125671973807548,1.8646473499025893,open,1.2078603152165757,2.6870801581940453,A2,False
Sr2CrTeO6,Sr2CrTeO6,A2,1.0350148586029069,0.1730929062798725,0.1730929062798725,1.9263698065344843,1.7532769002546118,0.4649851413970933,False,1.0452114222434303,1.1743797461552872,open,0.295404937114172,1.7746247800916417,A2,False
Sr2NiGeO6,Sr2NiGeO6,A2,1.024915673684261,0.154878628592372,0.154878628592372,1.8698270153335104,1.7149483867411384,0.4750843263157389,False,1.0465146648921515,1.2126571719204822,open,0.2853057521955262,1.764525595172996,A2,False
Sr2MoTeO6,Sr2TeMoO6,A2,0.9966758666516397,0.1432686050563951,0.1432686050563951,1.8757750145740213,1.7325064095176266,0.5033241333483605,False,1.0008914008602503,1.0723249213409571,open,0.2570659451629048,1.7362857881403744,A2,False
Sr2FeIrO6,Sr2FeIrO6,A2,0.9933759897811312,0.1462452088683252,0.1462452088683252,1.8457858731669683,1.6995406642986433,0.5066240102188687,False,1.060095179089084,1.2396816565954676,open,0.2537660682923963,1.732985911269866,A2,False
Sr2NbTaO6,Sr2TaNbO6,A2,0.9836737769333466,0.1229307176122688,0.1229307176122688,1.831174436666113,1.7082437190538444,0.5163262230666534,False,1.1372231903959684,1.489832718642385,open,0.2440638554446117,1.7232836984220814,A2,False
