formula,pred_OQMD,pred_zeros,pred_MP,d_zeros,d_MP
Sr2CrCuO6,0.46998853094469983,0.5103171274135844,0.5988276987027051,0.04032859646888454,0.1288391677580053
Sr2CrZnO6,1.364082606739823,1.4495391156339548,1.6051726263174864,0.0854565088941317,0.2410900195776633
Sr2CrYO6,0.8279660116467674,0.8964970230404866,1.0144309083922634,0.0685310113937192,0.18646489674549593
Sr2CrZrO6,0.9686307204074278,1.0377727235797125,1.1736819773819116,0.0691420031722847,0.2050512569744838
Sr2CrNbO6,0.9349239524767006,1.0330600963050853,1.2802551951489387,0.09813614382838476,0.34533124267223814
Sr2CrMoO6,0.5068276785388918,0.6180724095469277,0.8941801813466244,0.11124473100803589,0.3873525028077326
Sr2CrRuO6,0.7203263206320639,0.7447117565889672,0.837351369806195,0.024385435956903234,0.11702504917413104
Sr2CrRhO6,0.35946664380605975,0.39196574143583046,0.5104004875549683,0.03249909762977071,0.1509338437489085
Sr2CrPdO6,0.4748497361641367,0.5212066769060835,0.6494867113434503,0.04635694074194674,0.17463697517931354
Sr2CrHfO6,1.1295565600346058,1.2135593748287017,1.3816076927541505,0.08400281479409588,0.2520511327195447
Sr2CrTaO6,1.1399197338541036,1.3016283340202202,1.7111720567192337,0.16170860016611655,0.5712523228651301
Sr2CrWO6,0.6658795839781454,0.8652001658033971,1.3430569802467176,0.1993205818252517,0.6771773962685722
Sr2CrReO6,0.8616515166792597,0.941832966108929,1.1862862383581034,0.08018144942966932,0.3246347216788438
Sr2CrIrO6,0.6211013180681157,0.6581696662892781,0.8392449324499213,0.03706834822116234,0.21814361438180552
Sr2CrAlO6,0.8113268598047886,0.9357571069218137,1.1737173047784257,0.1244302471170251,0.36239044497363715
Sr2CrGaO6,1.1150335193235517,1.148814876042029,1.2346893996464585,0.03378135671847726,0.11965588032290686
Sr2CrInO6,0.9016016344237496,0.9653801664777335,1.1026802176107442,0.06377853205398387,0.20107858318699456
Sr2CrGeO6,0.8382587980959735,0.9155624390458021,1.1407767729545046,0.07730364094982867,0.30251797485853116
Sr2CrSnO6,1.0659777539002544,1.1190436059507571,1.2517769398184988,0.05306585205050274,0.1857991859182444
Sr2CrBiO6,1.2801943248682413,1.2454263913273984,1.3029459942495238,-0.034767933540842844,0.02275166938128259
Sr2CrTeO6,1.0350148586029067,1.0452114222434303,1.1743797461552872,0.010196563640523681,0.13936488755238052
Sr2MnCoO6,0.5850781559173379,0.5673824828957104,0.5621851114485551,-0.017695673021627556,-0.02289304446878282
Sr2MnNiO6,0.44125730400921914,0.4363350982831437,0.45952234164184386,-0.004922205726075435,0.018265037632624714
Sr2MnCuO6,0.5846204785588335,0.5819317328394298,0.6476500103432961,-0.0026887457194036957,0.06302953178446258
Sr2MnZrO6,1.4279051466743475,1.4262976362200013,1.4371140517450693,-0.0016075104543462615,0.009208905070721807
Sr2MnMoO6,0.7443363091270996,0.8361495705922222,1.0012856130929966,0.09181326146512259,0.256949303965897
Sr2MnRuO6,0.5880697710054859,0.5753510331529921,0.6145712303355119,-0.012718737852493778,0.02650145933002601
Sr2MnRhO6,0.4387261246445565,0.4615444409573116,0.5703671688563656,0.022818316312755105,0.1316410442118091
Sr2MnPdO6,0.5400026562104815,0.5555270115062045,0.6194336391090135,0.015524355295723047,0.07943098289853201
Sr2MnHfO6,1.39052042798372,1.4134258861048576,1.4697198027413587,0.022905458121137645,0.07919937475763872
Sr2MnReO6,0.8418599002975451,0.8164436251427202,0.84018169065536,-0.02541627515482492,-0.0016782096421851245
Sr2MnIrO6,1.0605724468048,1.0831291025939624,1.2469705418520092,0.02255665578916255,0.18639809504720928
Sr2MnGeO6,1.1100500798750315,1.1513500750987704,1.2905671791166418,0.04129999522373895,0.1805170992416103
Sr2MnSnO6,1.2147436594571148,1.2289385228392795,1.3319405629493395,0.01419486338216469,0.11719690349222467
Sr2MnBiO6,0.997006608491366,0.992630087271402,1.0722857640010723,-0.0043765212199640136,0.07527915550970632
Sr2FeMoO6,0.5998507348026229,0.6937469832490978,0.8999318894799341,0.09389624844647493,0.3000811546773112
Sr2FeRuO6,0.4936482727516185,0.5473071892981669,0.7006289799532,0.05365891654654842,0.20698070720158146
Sr2FeReO6,1.3455966042897765,1.4119107242484157,1.5707375596667583,0.06631411995863923,0.22514095537698187
Sr2FeIrO6,0.9933759897811313,1.060095179089084,1.2396816565954676,0.06671918930795273,0.2463056668143363
Sr2FeBiO6,0.7729248510380011,0.7931945890934986,0.9136716574116085,0.020269738055497477,0.14074680637360737
Sr2CoNiO6,0.7748472101462341,0.7825584928541311,0.8445821176281145,0.007711282707897005,0.06973490748188038
Sr2CoZrO6,0.8326395659346243,0.7894335347317102,0.769331252582087,-0.04320603120291411,-0.06330831335253728
Sr2CoNbO6,0.8509714349054401,0.8897440222212186,0.9821790762197472,0.038772587315778484,0.13120764131430707
