band_gap,src
0.8769999999999998,OQMD
1.9889999999999999,OQMD
0.47799999999999976,OQMD
1.916,OQMD
1.4640000000000004,OQMD
1.4060000000000001,OQMD
0.9900000000000002,OQMD
3.1659999999999995,OQMD
2.6559999999999997,OQMD
0.46130000000000004,MP
1.8760000000000003,OQMD
2.893,OQMD
2.1719,MP
2.0869999999999997,OQMD
2.8100000000000005,OQMD
1.368,OQMD
0.4219999999999997,OQMD
1.0709999999999997,OQMD
3.002299999999999,MP
0.31400000000000006,OQMD
1.0050000000000003,OQMD
0.42100000000000026,OQMD
0.3490000000000002,OQMD
4.038,OQMD
1.2770000000000001,OQMD
3.4839,MP
1.0145,MP
2.4650000000000003,OQMD
4.04,OQMD
1.9489999999999998,OQMD
3.246699999999999,MP
2.84,OQMD
3.508,OQMD
0.594,OQMD
0.36,OQMD
0.38500000000000023,OQMD
4.2347,MP
2.854,OQMD
0.9479999999999995,OQMD
3.127,OQMD
3.32,OQMD
0.61,OQMD
0.34999999999999964,OQMD
0.7039999999999997,OQMD
2.214299999999999,MP
2.351,OQMD
1.283,OQMD
1.347,OQMD
2.0300000000000002,OQMD
3.46,OQMD
2.1480000000000006,OQMD
1.8399999999999999,OQMD
1.8730000000000002,OQMD
1.192,OQMD
0.8609999999999998,OQMD
1.028,OQMD
2.2119999999999997,OQMD
2.253,OQMD
1.2170000000000005,OQMD
1.3810000000000002,OQMD
0.34,JARVIS
0.9930000000000003,OQMD
1.2520000000000002,OQMD
3.6759999999999997,OQMD
3.0889999999999995,OQMD
0.8753000000000001,MP
0.073099999999999,MP
0.5880000000000001,OQMD
2.387,OQMD
2.627,OQMD
2.124,MP
2.3,OQMD
2.444,OQMD
2.907,OQMD
1.9940000000000002,OQMD
1.057,OQMD
0.8130000000000002,OQMD
0.8651999999999991,MP
0.8400000000000003,OQMD
0.355,OQMD
1.809,OQMD
0.2970000000000006,OQMD
0.4089999999999998,OQMD
2.2190000000000003,OQMD
1.8550000000000004,OQMD
1.4857,MP
2.2009,MP
0.3139999999999996,OQMD
3.556,OQMD
1.463,OQMD
0.6290000000000004,OQMD
3.5260000000000002,OQMD
3.077000000000001,MP
0.9249999999999998,OQMD
2.1470000000000002,OQMD
1.1719999999999997,OQMD
1.6559999999999997,OQMD
1.6590000000000003,OQMD
5.107,OQMD
0.5209999999999999,OQMD
2.3339999999999996,OQMD
1.6219999999999999,OQMD
0.6149999999999998,OQMD
0.7810000000000001,OQMD
0.2680000000000007,OQMD
3.055,OQMD
3.263,OQMD
2.145,OQMD
1.947,JARVIS
0.7090000000000001,OQMD
2.293,OQMD
1.851,OQMD
2.117,OQMD
1.1660000000000004,OQMD
0.2469999999999999,OQMD
1.2670000000000003,OQMD
1.725,OQMD
3.893,OQMD
1.854,OQMD
4.309,OQMD
1.057,OQMD
2.194,OQMD
1.6360000000000001,OQMD
0.8209999999999997,OQMD
1.041,OQMD
3.263,OQMD
0.351,OQMD
2.439,OQMD
3.431,OQMD
1.0660000000000007,OQMD
0.5129999999999999,OQMD
1.6759999999999997,OQMD
2.508,OQMD
2.24,OQMD
4.3422,MP
1.1989999999999998,OQMD
2.8750000000000004,OQMD
0.512,OQMD
1.0549999999999997,OQMD
1.6550000000000002,OQMD
3.059,OQMD
0.313,OQMD
0.218,OQMD
0.6719999999999997,OQMD
0.5154000000000001,MP
1.271,OQMD
2.722,OQMD
0.607,OQMD
1.7749999999999995,OQMD
2.484,OQMD
2.026,OQMD
1.9160000000000004,OQMD
1.3720000000000003,OQMD
1.6079999999999997,OQMD
1.6710000000000003,OQMD
