formula,formula_norm,tier,bg_pred,bg_ci_lo,bg_ci_lo_clip,bg_ci_hi,ci_width,dist_to_pv_centre,metal_risk,bg_pred_zeros,bg_pred_MP
Sr2CoRuO6,Sr2CoRuO6,A2,0.6777364284398276,-0.18764387574028363,0.0,1.5283083967725133,1.715952272512797,0.8222635715601724,False,0.6745246302207999,0.7547534207359674
Sr2ZrRuO6,Sr2ZrRuO6,A2,0.6657443643469206,-0.17398926890486865,0.0,1.5167831079014262,1.690772376806295,0.8342556356530794,False,0.6553530561316925,0.6873343383642262
Sr2IrGeO6,Sr2GeIrO6,A2,0.653988886850396,-0.21441469458319662,0.0,1.5196798751194291,1.7340945697026258,0.846011113149604,False,0.7076701435340392,0.8620533159203287
Sr2NbRuO6,Sr2NbRuO6,A2,0.6508909478614943,-0.19579815854712845,0.0,1.5076069548958375,1.703405113442966,0.8491090521385057,False,0.7302660332565413,0.936466941412961
Sr2TaReO6,Sr2TaReO6,A2,0.6469130276975343,-0.20778079708458053,0.0,1.4937429834715639,1.7015237805561445,0.8530869723024657,False,0.7879781865227988,1.1682140057315913
Sr2ZrWO6,Sr2ZrWO6,A2,0.6297308277399953,-0.21793478912413455,0.0,1.4760158943869088,1.6939506835110434,0.8702691722600047,False,0.7525303624362769,1.046674563650393
Sr2MoWO6,Sr2MoWO6,A2,0.6260133217664923,-0.2441278368028017,0.0,1.476051636553515,1.7201794733563167,0.8739866782335077,False,0.83725711370014,1.3217273053402796
Sr2ScReO6,Sr2ScReO6,A2,0.6229157541570164,-0.23599326288571376,0.0,1.4775627068330066,1.7135559697187204,0.8770842458429836,False,0.6577187796668802,0.7311820448924334
Sr2CrIrO6,Sr2CrIrO6,A2,0.6211013180681157,-0.21357324759239604,0.0,1.471180063472295,1.684753311064691,0.8788986819318843,False,0.6581696662892781,0.8392449324499213
Sr2CrFeO6,Sr2CrFeO6,A2,0.6145371947687807,-0.22461764375064786,0.0,1.468630703976955,1.6932483477276028,0.8854628052312193,False,0.6893389530589963,0.8169022851305641
Sr2IrBiO6,Sr2BiIrO6,A2,0.6102165153436024,-0.23397413725078942,0.0,1.4780027642393192,1.7119769014901087,0.8897834846563976,False,0.6320115763628711,0.7489592140871341
Sr2RhGeO6,Sr2GeRhO6,A2,0.6058198051720024,-0.259513788550228,0.0,1.4541957323129495,1.7137095208631776,0.8941801948279976,False,0.6166281120156313,0.7080065113166281
Sr2IrInO6,Sr2InIrO6,A2,0.6006523977261047,-0.2531335738575782,0.0,1.4510358783744688,1.704169452232047,0.8993476022738953,False,0.6296562771322916,0.774574693324607
Sr2MoIrO6,Sr2MoIrO6,A2,0.5990221520446225,-0.24593111874739781,0.0,1.4485060941190637,1.6944372128664615,0.9009778479553775,False,0.7103197159601633,1.0314710648637648
